ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_1Min,twap_roll_10,time,diff,zcore-5,mean
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035624782737409,0.029925,2.9925,0,2.9925,2.9909737096774194,10:04:03,0.0,-2.197451214456246e-06,1.7763568394002506e-16
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035624770154500,0.029925,2.9925,0,2.9925,2.9909737096774194,10:04:03,0.0,-2.197451214456246e-06,1.7763568394002506e-16
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035624774348801,0.029925,2.9925,0,2.9925,2.9909737096774194,10:04:03,0.0,-1.0987256072294506e-06,8.881784197001253e-17
2023-01-12 10:04:05,2023-01-12 10:04:05,TPSHe1063035634643546118,0.029925,2.9925,2,2.9925,2.9909786173633446,10:04:05,0.0,-1.0987256072294506e-06,8.881784197001253e-17
2023-01-12 10:04:10,2023-01-12 10:04:10,PATRe1063035656057417729,0.029925,2.9925,5,2.9924999999999997,2.990990749601276,10:04:10,4.440892098500626e-16,inf,0.0
2023-01-12 10:04:10,2023-01-12 10:04:10,TJXT230112052024000000000139,0.029925,2.9925,0,2.9924999999999997,2.990990749601276,10:04:10,4.440892098500626e-16,4.3949024289178025e-06,8.881784197001253e-17
2023-01-12 10:04:21,2023-01-12 10:04:21,TPSHe1063035702490607620,0.029925,2.9925,11,2.9925,2.9910167711598747,10:04:21,0.0,-2.197451214456246e-06,1.7763568394002506e-16
2023-01-12 10:04:24,2023-01-12 10:04:24,BGC22022011009428441,0.029925,2.9925,3,2.9924999999999997,2.991023712948518,10:04:24,4.440892098500626e-16,3.2961768216843687e-06,1.7763568394002506e-16
2023-01-12 10:05:07,2023-01-12 10:05:07,TJXT230112052024000000000140,0.029925,2.9925,43,2.9925000000000006,2.9910685855263157,10:05:07,-4.440892098500626e-16,-8.789804857824973e-06,2.6645352591003756e-16
2023-01-12 10:06:56,2023-01-12 10:06:56,220220_872949326_20230112-10:06:,0.029916,2.9916,109,2.9916,2.9912621487603306,10:06:56,0.0,-2.197451214442982e-06,1.7763568394002506e-16
2023-01-12 10:07:07,2023-01-12 10:07:07,TPSHe1063036397134458881,0.029925,2.9925,11,2.9916825000000005,2.991284253246753,10:07:07,0.0008174999999996935,10112925.105830437,8.881784197001253e-17
2023-01-12 10:07:24,2023-01-12 10:07:24,ICAP2202207000589213,0.029925,2.9925,17,2.99178394160584,2.991373311367381,10:07:24,0.0007160583941603349,1.689781021897818,0.0001634999999999387
2023-01-12 10:07:32,2023-01-12 10:07:32,TPSHe1063036501673291777,0.029925,2.9925,8,2.9918234482758623,2.991387967479675,10:07:32,0.0006765517241378305,0.980980052961839,0.0003067116788320057
2023-01-12 10:07:32,2023-01-12 10:07:32,TPSHe1063036501660708865,0.029925,2.9925,0,2.9918234482758623,2.991387967479675,10:07:32,0.0006765517241378305,0.6446185729560349,0.00044202202365948293
2023-01-12 10:08:30,2023-01-12 10:08:30,BGC22022011009428725,0.029925,2.9925,58,2.9924999999999997,2.9914931893687706,10:08:30,4.440892098500626e-16,-1.968854107275015,0.0005773323684871379
2023-01-12 10:09:17,2023-01-12 10:09:17,PATRe1063036944908316673,0.029925,2.9925,47,2.9924999999999997,2.9916107765451665,10:09:17,4.440892098500626e-16,-1.968854107276492,0.0005773323684872267
2023-01-12 10:09:31,2023-01-12 10:09:31,ICAP2202207000589220,0.02995,2.995,14,2.9930737704918036,2.9919832225913625,10:09:31,0.001926229508196542,4.471894818157308,0.00041383236848737683
2023-01-12 10:09:31,2023-01-12 10:09:31,PATRe1063037001011326977,0.029925,2.9925,0,2.9930737704918036,2.9919832225913625,10:09:31,-0.0005737704918034048,-1.7477301661036702,0.0006558665912946183
2023-01-12 10:11:59,2023-01-12 10:11:59,220220_1191718316_20230112-10:11,0.029912,2.9912,148,2.9912,2.9920689368770765,10:11:59,0.0,-0.473406932690571,0.00040580214810637116
2023-01-12 10:12:58,2023-01-12 10:12:58,220220_1242050455_20230112-10:12,0.029916,2.9916,59,2.991314009661836,2.991997394136808,10:12:58,0.0002859903381642326,0.018080949161709787,0.00027049180327880505
2023-01-12 10:14:24,2023-01-12 10:14:24,PATRe1063038231964053505,0.029925,2.9925,86,2.9925,2.991985666666667,10:14:24,0.0,-0.387022448032364,0.00032768987091156274
2023-01-12 10:14:58,2023-01-12 10:14:58,220220_1376269278_20230112-10:14,0.029915,2.9915,34,2.9922166666666667,2.9919596214511044,10:14:58,-0.0007166666666669208,-1.2334510757619985,0.00032768987091147395
2023-01-12 10:15:57,2023-01-12 10:15:57,PATRe1063038619576463361,0.02991,2.991,59,2.9911827956989248,2.9918367692307695,10:15:57,-0.00018279569892465375,0.04758751446573698,-0.0002008893640612186
2023-01-12 10:15:58,2023-01-12 10:15:58,220220_1426601361_20230112-10:15,0.029915,2.9915,1,2.9910083333333333,2.991836251920123,10:15:58,0.000491666666666557,1.8464252428276728,-0.0001226944054854684
2023-01-12 10:16:09,2023-01-12 10:16:09,PATRe1063038669044084737,0.02991,2.991,11,2.9910070422535213,2.9918223564954687,10:16:09,-7.042253521216679e-06,0.04157644340670226,-2.4361072152156994e-05
2023-01-12 10:16:11,2023-01-12 10:16:11,TPSHe1063038678185717761,0.02991,2.991,2,2.9910068493150685,2.9918198795180726,10:16:11,-6.849315068446771e-06,0.1959634711899973,-8.296759048924685e-05
2023-01-12 10:16:28,2023-01-12 10:16:28,ICAP2202207000589234,0.0299,2.99,17,2.9908166666666665,2.9917744493392076,10:16:28,-0.0008166666666662437,-1.8867272268149926,-8.43374535029362e-05
2023-01-12 10:16:35,2023-01-12 10:16:35,PATRe1063038781669535745,0.0299,2.99,7,2.990757731958763,2.9917563953488377,10:16:35,-0.0007577319587626086,-1.5506462757681365,-0.00010433745350280077
2023-01-12 10:16:38,2023-01-12 10:16:38,TPSHe1063038793931730945,0.0299,2.99,3,2.9907350000000004,2.9917487698986975,10:16:38,-0.0007350000000001522,-1.0344927078434563,-0.00021932470547039173
2023-01-12 10:16:39,2023-01-12 10:16:39,TPSHe1063038798373498884,0.0299,2.99,1,2.990727722772277,2.991746242774567,10:16:39,-0.0007277227722766177,-0.7021237435657346,-0.00046465803880373356
