ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_5Min,twap_roll_10,time,diff,zcore-10,mean,zcore2-10-15
2023-01-12 09:58:27,2023-01-12 09:58:27,TJXT230112052024000000000115,0.0299,2.99,7,2.9908990163934424,2.9904568106312293,09:58:27,-0.0008990163934421425,-1.8451349688941037,0.00035498707741110636,0.20553189566566565
2023-01-12 09:58:27,2023-01-12 09:58:27,TJXT230112052024000000000116,0.0299,2.99,0,2.9908990163934424,2.9904568106312293,09:58:27,-0.0008990163934421425,-1.50528951492633,0.00026534517832654814,0.13867500304548303
2023-01-12 09:58:27,2023-01-12 09:58:27,ICAP2202207000589177,0.0299,2.99,0,2.9908990163934424,2.9904568106312293,09:58:27,-0.0008990163934421425,-1.2250893909573952,6.012631843850258e-05,-0.08051720791050435
2023-01-12 09:58:27,2023-01-12 09:58:27,TJXT230112052024000000000118,0.0299,2.99,0,2.9908990163934424,2.9904568106312293,09:58:27,-0.0008990163934421425,-1.0056436296892335,-7.514748919055237e-05,-0.17746069370813614
2023-01-12 09:58:27,2023-01-12 09:58:27,TJXT230112052024000000000117,0.0299,2.99,0,2.9908990163934424,2.9904568106312293,09:58:27,-0.0008990163934421425,-0.8634493453026412,-0.00016043622530901303,-0.20167353516902198
2023-01-12 09:58:27,2023-01-12 09:58:27,ICAP2202207000589178,0.0299,2.99,0,2.9908990163934424,2.9904568106312293,09:58:27,-0.0008990163934421425,-0.802495122255879,-0.0001950110672676253,-0.16280070519116258
2023-01-12 09:58:28,2023-01-12 09:58:28,PATRe1063034221458649092,0.0299,2.99,1,2.9908960784313723,2.9904560530679936,09:58:28,-0.0008960784313720715,-0.6498661583646067,-0.00032958590922622656,-0.24715817944744672
2023-01-12 09:58:37,2023-01-12 09:58:37,BGC22022011009428051,0.0299,2.99,9,2.9908704761904756,2.9904568106312293,09:58:37,-0.0008704761904754221,-0.462712073471936,-0.0005113389668848888,-0.321841031195502
2023-01-12 09:58:46,2023-01-12 09:58:46,TJXT230112052024000000000120,0.0299,2.99,9,2.9909049504950493,2.990450081833061,09:58:46,-0.0009049504950491283,-0.46481460080845755,-0.0005407221122482487,-0.2500568871449811
2023-01-12 09:58:46,2023-01-12 09:58:46,TJXT230112052024000000000119,0.0299,2.99,0,2.9909049504950493,2.990450081833061,09:58:46,-0.0009049504950491283,-0.34491259170567545,-0.0006441641816207433,-0.306970469993113
2023-01-12 09:59:28,2023-01-12 09:59:28,TJXT230112052024000000000122,0.029875,2.9875,42,2.990490434782609,2.9902833333333336,09:59:28,-0.002990434782609075,-226.3745436693935,-0.0008970553972598605,-0.5942522464616949
2023-01-12 09:59:28,2023-01-12 09:59:28,TJXT230112052024000000000121,0.0299,2.99,0,2.990490434782609,2.9902833333333336,09:59:28,-0.0004904347826086841,0.9802841328267576,-0.0011061972361765537,-0.4588685495140052
2023-01-12 09:59:29,2023-01-12 09:59:29,TJXT230112052024000000000123,0.029875,2.9875,1,2.990481791907514,2.9902787021630615,09:59:29,-0.002981791907514353,-2.9344509385095625,-0.001065339075093208,-0.3545375282124623
2023-01-12 09:59:56,2023-01-12 09:59:56,220220_436737811_20230112-09:59:,0.0299,2.99,27,2.9904469168900802,2.990266719745223,09:59:56,-0.0004469168900800291,0.956085593428749,-0.001273616626500429,-0.34690528892700145
2023-01-12 10:00:11,2023-01-12 10:00:11,ICAP2202207000589185,0.0299,2.99,15,2.99016891025641,2.9902604976671854,10:00:11,-0.00016891025640974888,1.1846098980849302,-0.0012284066761642175,-0.2742721116624036
2023-01-12 10:00:41,2023-01-12 10:00:41,TPSHe1063034779181690881,0.0299,2.99,30,2.9901540935672513,2.9902791666666673,10:00:41,-0.00015409356725104573,1.0578211417098629,-0.0011553960624609782,-0.10924681666520919
